msrc_transactionid,msrc_customerid,msrc_transactionsessionid,msrc_productcatalogid,msrc_transactionlocationid,msrc_transactionchanneltype,msrc_transactiontimestamp,msrc_transactiontype,msrc_paymenttype,msrc_transactionamount,msrc_discountappliedamount,msrc_ontimedelivery,msrc_customerscorereview
bb3fd3c9-ca83-4da5-bb7b-351e49c4e25e,cb988669-e2d8-48ff-bbe5-a60773e6a7f5,0013d170-ff92-44d0-9f5f-12acf8f2f455,81ed874b-f763-4143-aa36-602ad6628068,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/1/2021 0:12,Exchange,Mobile/digital/cashless,4.68149788,0,Delayed,FALSE
d6d98379-b118-493f-b432-05402eb7e787,a0c4eb53-639d-4eab-ae55-3d6761a5f59f,58c20dbc-5b60-4237-b4ad-5a5138006694,d6ae1f1e-c772-419a-ae47-76470835aed8,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Physical,6/1/2021 0:56,Exchange,Credit card,26.318923882,1.490978442,Delayed,FALSE
009f1dc2-213c-4d73-a90b-cdc5dd9aa015,bbdb10e6-218a-47ea-9dfc-89116cd9358a,12fa98e7-2a32-4815-b2a2-fe36ae5c91bf,217d17ca-a715-4937-b96c-471c8412caab,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/1/2021 10:31,Purchase,Cash,25.778745731,6.277107115,On-time,TRUE
199aca03-e763-48f4-829c-33570f37ea36,846ac517-2a0d-4af6-98bd-d9674a9970dd,5e44f683-a776-48cc-bbd7-0063b49d6413,b07213f3-e39f-4a6e-a94b-55e407f30491,bee5ad7a-5d17-4635-a720-563266fafd85,Digital,6/1/2021 13:23,Purchase,Cash,3.941679493,0,On-time,FALSE
59a2a417-da0e-49d5-b4d3-465276b7d984,9583d68a-6333-49de-b7a5-f598146a62a2,4e947e56-6d6a-4867-9631-48e2b92f3d85,b07213f3-e39f-4a6e-a94b-55e407f30491,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/1/2021 13:27,Purchase,Mobile/digital/cashless,17.352790723,0,On-time,FALSE
1d77ed67-4e3b-4011-8b58-163b66208099,ac4b423d-995a-44e2-8ffe-328442bf97e5,171de8ce-a80f-4d56-8f23-45c5b4829635,9dc9d36e-5b57-49ff-8c43-067a4fb6ac43,bee5ad7a-5d17-4635-a720-563266fafd85,Digital,6/1/2021 13:39,Purchase,Credit card,40.718145495,4.609634658,On-time,FALSE
3cb2c67c-cbf6-493d-b727-9a8539145360,9b64841e-3493-4bab-a657-236a3e0e21f9,215f3599-b7ac-4283-abd3-1908620afe34,33228d36-309b-4f86-b3e6-41717a6849d0,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Physical,6/1/2021 14:24,Purchase,Cash,17.180914969,0.404933695,On-time,FALSE
a01b777b-4bac-45e7-a5a2-8a8e552c21dc,cc150d14-7afc-4c59-895a-e3e9e93b07f0,3fde285c-e431-4a64-8be3-417fec3ed3aa,133cabbc-7982-4ddd-be15-3953a70ed670,bee5ad7a-5d17-4635-a720-563266fafd85,Digital,6/1/2021 21:13,Purchase,Mobile/digital/cashless,39.094717274,0,On-time,TRUE
7bd9b237-b4f5-4aae-999c-555c5e13a710,f586b45c-cc91-4ccc-9130-5ccf186ba501,1ee1aa23-27fb-4ef1-b4b6-eea3549bf5dc,8d752691-8123-469b-9d93-3b69f479fd3f,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/1/2021 21:40,Purchase,Debit,8.294330233,1.932275037,On-time,FALSE
82361400-caf4-4bf9-91ce-fe58d291fea1,cb988669-e2d8-48ff-bbe5-a60773e6a7f5,d0b6b367-231e-4a08-bf0d-bdec06863eab,a0d728bf-47c0-4ee7-a8e7-f8a50620765c,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/1/2021 23:13,Return,Debit,3.601861459,0,On-time,TRUE
